,emotion,gender
0,nuda,muz
1,nuda,muz
2,nuda,muz
3,nuda,muz
4,nuda,muz
5,nuda,muz
6,nuda,zena
7,nuda,zena
8,nuda,muz
9,nuda,zena
10,nuda,zena
11,nuda,zena
12,nuda,zena
13,nuda,muz
14,nuda,muz
15,pozitivni,muz
16,pozitivni,muz
17,pozitivni,zena
18,pozitivni,muz
19,pozitivni,muz
20,pozitivni,muz
21,pozitivni,zena
22,pozitivni,zena
23,pozitivni,zena
24,pozitivni,muz
25,pozitivni,muz
26,pozitivni,muz
27,pozitivni,muz
28,pozitivni,zena
29,pozitivni,zena
30,pozitivni,muz
31,pozitivni,muz
32,radost,zena
33,radost,muz
34,radost,muz
35,radost,muz
36,radost,muz
37,radost,zena
38,radost,zena
39,radost,muz
40,radost,zena
41,radost,zena
42,radost,muz
43,radost,zena
44,radost,muz
45,radost,zena
46,radost,muz
47,radost,muz
48,strach,muz
49,strach,zena
50,strach,zena
51,strach,muz
52,strach,zena
53,strach,zena
54,strach,muz
55,strach,zena
56,strach,zena
57,strach,zena
58,strach,zena
59,strach,muz
60,strach,muz
61,zmatek,zena
62,zmatek,muz
63,zmatek,muz
64,zmatek,muz
65,zmatek,muz
66,zmatek,zena
67,zmatek,muz
68,zmatek,zena
69,zmatek,zena
70,zmatek,zena
71,zmatek,muz
72,zmatek,zena
73,zmatek,muz
74,zmatek,muz
75,znechuceni,muz
76,znechuceni,zena
77,znechuceni,muz
78,znechuceni,muz
79,znechuceni,muz
80,znechuceni,muz
81,znechuceni,zena
82,znechuceni,muz
83,znechuceni,zena
84,znechuceni,zena
85,znechuceni,muz
86,znechuceni,zena
87,znechuceni,zena
88,znechuceni,zena
89,znechuceni,zena
90,znechuceni,muz
91,znechuceni,muz
