timestamp,value,norm_ts
1617966552.989,0.1755001,0.0
1617966553.239,0.1767811,0.25
1617966553.489,0.1819052,0.5
1617966553.739,0.1806242,0.75
1617966553.989,0.1819052,1.0
1617966554.239,0.1780621,1.25
1617966554.489,0.1793432,1.5
1617966554.739,0.1806242,1.75
1617966554.989,0.1831862,2.0
1617966555.239,0.1767811,2.25
1617966555.489,0.1767811,2.5
1617966555.739,0.1780621,2.75
1617966555.989,0.1806242,3.0
1617966556.239,0.1767811,3.25
1617966556.489,0.1767811,3.5
1617966556.739,0.1793432,3.75
1617966556.989,0.1806242,4.0
1617966557.239,0.1819052,4.25
1617966557.489,0.1780621,4.5
1617966557.739,0.1793432,4.75
1617966557.989,0.1819052,5.0
1617966558.239,0.1819052,5.25
1617966558.489,0.1755001,5.5
1617966558.739,0.1780621,5.75
1617966558.989,0.1819052,6.0
1617966559.239,0.1819052,6.25
1617966559.489,0.1793432,6.5
1617966559.739,0.1793432,6.75
1617966559.989,0.1819052,7.0
1617966560.239,0.1819052,7.25
1617966560.489,0.1819052,7.5
1617966560.739,0.1793432,7.75
1617966560.989,0.1819052,8.0
1617966561.239,0.1793432,8.25
1617966561.489,0.1819052,8.5
1617966561.739,0.1780621,8.75
1617966561.989,0.1780621,9.0
1617966562.239,0.1819052,9.25
1617966562.489,0.1819052,9.5
1617966562.739,0.1793432,9.75
1617966562.989,0.1793432,10.0
1617966563.239,0.1819052,10.25
1617966563.489,0.1831862,10.5
1617966563.739,0.1844673,10.75
1617966563.989,0.1780621,11.0
1617966564.239,0.1806242,11.25
1617966564.489,0.1844673,11.5
1617966564.739,0.1844673,11.75
1617966564.989,0.1793432,12.0
1617966565.239,0.1819052,12.25
1617966565.489,0.1857483,12.5
1617966565.739,0.1831862,12.75
1617966565.989,0.1806242,13.0
1617966566.239,0.1767811,13.25
1617966566.489,0.1767811,13.5
1617966566.739,0.1742191,13.75
1617966566.989,0.1767811,14.0
1617966567.239,0.172938,14.25
1617966567.489,0.1742191,14.5
1617966567.739,0.1780621,14.75
1617966567.989,0.1793432,15.0
1617966568.239,0.1742191,15.25
1617966568.489,0.1742191,15.5
1617966568.739,0.1780621,15.75
1617966568.989,0.1780621,16.0
1617966569.239,0.1793432,16.25
1617966569.489,0.170376,16.5
1617966569.739,0.1742191,16.75
1617966569.989,0.1780621,17.0
1617966570.239,0.1793432,17.25
1617966570.489,0.1742191,17.5
1617966570.739,0.1767811,17.75
1617966570.989,0.1780621,18.0
1617966571.239,0.1780621,18.25
1617966571.489,0.1755001,18.5
1617966571.739,0.1742191,18.75
1617966571.989,0.1767811,19.0
1617966572.239,0.1755001,19.25
1617966572.489,0.1767811,19.5
1617966572.739,0.1755001,19.75
1617966572.989,0.1742191,20.0
1617966573.239,0.1780621,20.25
1617966573.489,0.1793432,20.5
1617966573.739,0.1767811,20.75
1617966573.989,0.1793432,21.0
1617966574.239,0.171657,21.25
1617966574.489,0.172938,21.5
1617966574.739,0.170376,21.75
1617966574.989,0.172938,22.0
1617966575.239,0.1793432,22.25
1617966575.489,0.1806242,22.5
1617966575.739,0.1780621,22.75
1617966575.989,0.1767811,23.0
1617966576.239,0.1793432,23.25
1617966576.489,0.1819052,23.5
1617966576.739,0.1819052,23.75
1617966576.989,0.1767811,24.0
1617966577.239,0.1742191,24.25
1617966577.489,0.1767811,24.5
1617966577.739,0.1742191,24.75
1617966577.989,0.1755001,25.0
1617966578.239,0.1742191,25.25
1617966578.489,0.1806242,25.5
1617966578.739,0.1831862,25.75
1617966578.989,0.1793432,26.0
1617966579.239,0.1806242,26.25
1617966579.489,0.1819052,26.5
1617966579.739,0.1831862,26.75
1617966579.989,0.1819052,27.0
1617966580.239,0.1819052,27.25
1617966580.489,0.1831862,27.5
1617966580.739,0.1857483,27.75
1617966580.989,0.1831862,28.0
1617966581.239,0.1844673,28.25
1617966581.489,0.1857483,28.5
1617966581.739,0.1857483,28.75
1617966581.989,0.1844673,29.0
1617966582.239,0.1844673,29.25
1617966582.489,0.1857483,29.5
1617966582.739,0.1883103,29.75
1617966582.989,0.1883103,30.0
1617966583.239,0.1831862,30.25
1617966583.489,0.1895913,30.5
1617966583.739,0.1908724,30.75
1617966583.989,0.1895913,31.0
1617966584.239,0.1870293,31.25
1617966584.489,0.1870293,31.5
1617966584.739,0.1883103,31.75
1617966584.989,0.1895913,32.0
1617966585.239,0.1857483,32.25
1617966585.489,0.1972775,32.5
1617966585.739,0.2088067,32.75
1617966585.989,0.2088067,33.0
1617966586.239,0.2088067,33.25
1617966586.489,0.2100877,33.5
1617966586.739,0.2113687,33.75
1617966586.989,0.2100877,34.0
1617966587.239,0.2088067,34.25
1617966587.489,0.2049636,34.5
1617966587.739,0.2088067,34.75
1617966587.989,0.2113687,35.0
1617966588.239,0.2113687,35.25
1617966588.489,0.2088067,35.5
1617966588.739,0.2075257,35.75
1617966588.989,0.2113687,36.0
1617966589.239,0.2100877,36.25
1617966589.489,0.2062446,36.5
1617966589.739,0.2075257,36.75
1617966589.989,0.2113687,37.0
1617966590.239,0.2113687,37.25
1617966590.489,0.2088067,37.5
1617966590.739,0.2100877,37.75
1617966590.989,0.2113687,38.0
1617966591.239,0.2113687,38.25
1617966591.489,0.2062446,38.5
1617966591.739,0.2075257,38.75
1617966591.989,0.2100877,39.0
1617966592.239,0.2088067,39.25
1617966592.489,0.2100877,39.5
1617966592.739,0.2049636,39.75
1617966592.989,0.2049636,40.0
1617966593.239,0.2088067,40.25
1617966593.489,0.2062446,40.5
1617966593.739,0.1844673,40.75
1617966593.989,0.1755001,41.0
1617966594.239,0.1755001,41.25
1617966594.489,0.172938,41.5
1617966594.739,0.169095,41.75
1617966594.989,0.1665329,42.0
1617966595.239,0.169095,42.25
1617966595.489,0.169095,42.5
1617966595.739,0.171657,42.75
1617966595.989,0.170376,43.0
1617966596.239,0.170376,43.25
1617966596.489,0.172938,43.5
1617966596.739,0.172938,43.75
1617966596.989,0.1652519,44.0
1617966597.239,0.1652519,44.25
1617966597.489,0.169095,44.5
1617966597.739,0.1614089,44.75
1617966597.989,0.1575658,45.0
1617966598.239,0.1588468,45.25
1617966598.489,0.1652519,45.5
1617966598.739,0.1639709,45.75
1617966598.989,0.1575658,46.0
1617966599.239,0.1562848,46.25
1617966599.489,0.1588468,46.5
1617966599.739,0.1537227,46.75
1617966599.989,0.1575658,47.0
1617966600.239,0.1537227,47.25
1617966600.489,0.1485986,47.5
1617966600.739,0.1498796,47.75
1617966600.989,0.1562848,48.0
1617966601.239,0.1550037,48.25
1617966601.489,0.1562848,48.5
1617966601.739,0.1588468,48.75
1617966601.989,0.1601278,49.0
1617966602.239,0.1588468,49.25
1617966602.489,0.1524417,49.5
1617966602.739,0.1588468,49.75
1617966602.989,0.1550037,50.0
1617966603.239,0.1588468,50.25
1617966603.489,0.1550037,50.5
1617966603.739,0.1601278,50.75
1617966603.989,0.1665329,51.0
1617966604.239,0.1755001,51.25
1617966604.489,0.170376,51.5
1617966604.739,0.171657,51.75
1617966604.989,0.1742191,52.0
1617966605.239,0.1767811,52.25
1617966605.489,0.1767811,52.5
1617966605.739,0.1793432,52.75
1617966605.989,0.1844673,53.0
1617966606.239,0.1857483,53.25
1617966606.489,0.1959965,53.5
1617966606.739,0.1985585,53.75
1617966606.989,0.1998395,54.0
1617966607.239,0.1998395,54.25
1617966607.489,0.2011206,54.5
1617966607.739,0.1972775,54.75
