,PPG_Raw,PPG_Clean,PPG_Rate,PPG_Peaks,EDA_Raw,EDA_Clean,EDA_Phasic,EDA_Tonic,SCR_Onsets,SCR_Peaks,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,Index,Condition
0,28.88431,0.6437224866661715,85.81492783146584,0,0.20706532390728188,0.20708324054607968,0.005819974952363023,0.20126491229838445,0,0,0,0,0,1067,neutral
1,27.89682,0.0,85.54139927301406,0,0.20677121324331835,0.20679825549283892,0.005550489264261386,0.20124941752991948,0,0,0,0,0,1068,neutral
2,26.96092,0.0,85.25455225596382,0,0.20644081641295678,0.206473182361808,0.005240916494330302,0.20123392175758714,0,0,0,0,0,1069,neutral
3,26.00046,0.0,84.9553752939441,0,0.20608348387366787,0.20611884826068771,0.004902083978981027,0.20121842475251087,0,0,0,0,0,1070,neutral
4,24.96396,0.0,84.64484611017419,0,0.20570856608292226,0.20574615639239935,0.004544895146810916,0.20120292628884767,0,0,0,0,0,1071,neutral
5,23.82443,0.0,84.32392926453885,0,0.20532541349819083,0.2053657379958795,0.004179981459591779,0.20118742614359442,0,0,0,0,0,1072,neutral
6,22.51259,0.0,83.99357402117953,0,0.20494337657694417,0.20498763684559182,0.0038173869119858136,0.20117192409638354,0,0,0,0,0,1073,neutral
7,20.87497,0.0,83.65471245333129,0,0.20457180577665302,0.20462103702984724,0.0034662958100750633,0.20115641992927408,0,0,0,0,0,1074,neutral
8,18.68994,0.0,83.30825778033075,0,0.2042200515547881,0.204274042454848,0.003134812275613166,0.2011409134265438,0,0,0,0,0,1075,neutral
9,15.69963,0.0,82.95510293016113,0,0.20389746436882003,0.2039535140486078,0.0028297974501469082,0.20112540437448773,0,0,0,0,0,1076,neutral
10,11.80019,0.0,82.59611931958266,0,0.20361338536233914,0.20366496794488032,0.002556767679135492,0.2011098925612276,0,0,0,0,0,1077,neutral
11,7.173828,0.0,82.23215584280982,0,0.20337407587309114,0.20341253501261505,0.002319854041581561,0.2010943777765364,0,0,0,0,0,1078,neutral
12,2.474472,0.0,81.86403805883235,0,0.20317828194777254,0.2031989790380807,0.0021218205323120807,0.20107885981168114,0,0,0,0,0,1079,neutral
13,-1.478485,0.0,81.4925675668173,0,0.20302362486018738,0.2030257678539407,0.001964135191190556,0.2010633384592859,0,0,0,0,0,1080,neutral
14,-4.152771,0.0,81.11852155856371,0,0.20290772588413994,0.2028931890290504,0.0018470857930288666,0.2010478135132174,0,0,0,0,0,1081,neutral
15,-5.593689,0.0,80.74265253668959,0,0.20282820629343432,0.20280049969190872,0.0017699296711302052,0.20103228476849358,0,0,0,0,0,1082,neutral
16,-6.528198,0.0,80.36568818709868,0,0.2027826873618747,0.2027460988877321,0.0017310660744313906,0.20101675202121536,0,0,0,0,0,1083,neutral
17,-8.067978,0.0,79.98833139428322,0,0.20276879036326514,0.20272771065089112,0.0017282192399846806,0.20100121506852137,1,0,0,0,0,1084,neutral
18,-11.18581,0.0,79.61126038815141,0,0.20278413657140987,0.20274256665541743,0.0017586210434877981,0.20098567370856477,0,0,0,0,0,1085,neutral
19,-16.21133,0.0,79.23512901131078,0,0.20282634726011295,0.20278757872679967,0.001819183511082417,0.2009701277405108,0,0,0,0,0,1086,neutral
20,-22.65462,0.0,78.86056709607082,0,0.20289304370317862,0.2028594934415471,0.001906653418901086,0.20095457696455346,0,0,0,0,0,1087,neutral
21,-28.94688,0.0,78.48818094083923,0,0.20298184717441095,0.20295502327329562,0.002017743439138838,0.20093902118194987,0,0,0,0,0,1088,neutral
22,-33.24762,0.0,78.11855387605998,0,0.20309037894761425,0.20307095104505943,0.0021492365922552406,0.2009234601950699,0,0,0,0,0,1089,neutral
23,-34.11163,0.0,77.75224691036588,0,0.20321626029659243,0.20320420662950317,0.0022980629471828335,0.20090789380745996,0,0,0,0,0,1090,neutral
24,-30.95546,0.0,77.38979944818138,0,0.2033571124951498,0.20335191676043016,0.0024613494327399045,0.2008923218239183,0,0,0,0,0,1091,neutral
25,-24.21922,0.0,77.03173007060373,0,0.20351055681709038,0.2035114303849499,0.0026364451897123707,0.20087674405058065,0,0,0,0,0,1092,neutral
26,-15.06854,0.0,76.6785373720016,0,0.20367421463874924,0.2036803231485925,0.0028209260558743417,0.2008611602950142,0,0,0,0,0,1093,neutral
27,-4.825348,0.0,76.33070084539378,0,0.20384585883018755,0.203856385355056,0.003012582525634368,0.20084557036631862,0,0,0,0,0,1094,neutral
28,5.473099,0.0,75.98868181029727,0,0.20402371750383413,0.20403759809687916,0.0032093958806017507,0.20082997407523254,0,0,0,0,0,1095,neutral
29,15.26636,0.0,75.65292437736154,0,0.20420610393253605,0.20422210224998003,0.0034095071840144924,0.20081437123424412,0,0,0,0,0,1096,neutral
30,25.08455,0.0,75.32385644472585,0,0.20439133138914053,0.2044081647113307,0.0036111835183002443,0.20079876165770486,0,0,0,0,0,1097,neutral
31,35.65547,0.056279540015569854,75.00189072164835,0,0.2045777131464947,0.20459414569033196,0.003812785276335301,0.20078314516194531,0,0,0,0,0,1098,neutral
32,47.41937,12.553769962772094,74.68742577555476,0,0.2047635624774456,0.20477847010319702,0.004012737555711738,0.20076752156539168,0,0,0,0,0,1099,neutral
33,60.23317,25.668763912520703,74.3808470992395,0,0.20494719265484052,0.20495960523449866,0.004209507820167901,0.20075189068868235,0,0,0,0,0,1100,neutral
34,73.20895,38.82265035391537,74.08252819552203,0,0.2051269169515265,0.2051360458925712,0.004401591054874831,0.2007362523547836,0,0,0,0,0,1101,neutral
35,85.22856,51.21608604040755,73.79283167721466,0,0.20530104864035068,0.20530630736584402,0.004587502722655858,0.20072060638910336,0,0,0,0,0,1102,neutral
36,95.43816,62.178191224095876,73.51211038079714,0,0.2054679009941603,0.20546892565016794,0.004765778991201961,0.20070495261960236,0,0,0,0,0,1103,neutral
37,103.6583,71.51321999222765,73.24070849271521,0,0.2056257872858024,0.20562246371917076,0.004934983003319757,0.20068929087690157,0,0,0,0,0,1104,neutral
38,110.3474,79.69621586077531,72.97896268773117,0,0.20577302078812412,0.20576552209657548,0.005093715449146708,0.20067362099438538,0,0,0,0,0,1105,neutral
39,117.172,87.83646921245484,72.72720327925083,0,0.2059079147739727,0.20589675169505886,0.005240627404911757,0.2006579428082993,0,0,0,0,0,1106,neutral
40,125.8109,97.41445198194221,72.48575538203963,0,0.20602878251619522,0.20601486683073586,0.00537443334732798,0.20064225615784187,0,0,0,0,0,1107,neutral
41,137.3212,109.85847959419175,72.2549400882206,0,0.2061339372876388,0.20611865651027628,0.005493922440624366,0.2006265608852495,0,0,0,0,0,1108,neutral
42,151.9557,126.04100379348567,72.03507565792354,0,0.20622169236475468,0.20620699250557484,0.005597966611138565,0.20061085683587382,0,0,0,0,0,1109,neutral
43,169.0303,145.76923404046266,71.82647872643025,0,0.20629063963736693,0.20627883334445735,0.005685524537954004,0.20059514385825072,0,0,0,0,0,1110,neutral
44,187.2139,167.3750087248056,71.6294655301396,0,0.2063404079589812,0.20633322409688018,0.005755641439039126,0.20057942180416052,0,0,0,0,0,1111,neutral
45,204.877,187.59067826914102,71.44435315416221,0,0.20637086738111962,0.20636929264188714,0.005807445338153895,0.20056369052867842,0,0,0,0,0,1112,neutral
46,220.2368,201.9564810388086,71.27146080485375,0,0.20638188795530446,0.20638624386046783,0.005840141257667589,0.20054794989021504,0,0,0,0,0,1113,neutral
47,226.2986,205.89897493104095,71.11111111111111,1,0.20637333973305813,0.20638335380927625,0.0058530053922475666,0.2005321997505462,0,1,0,0,0,1114,neutral
48,217.6707,196.2847302911905,70.95704060190363,0,0.2063450927659028,0.20635996630123865,0.0058453816894484265,0.2005164399748318,0,0,0,0,0,1115,neutral
