,PPG_Raw,PPG_Clean,PPG_Rate,PPG_Peaks,EDA_Raw,EDA_Clean,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime
0,-30.59854,0.0,62.01884253028264,0,0.11655900000000004,0.11651981210732386,0.11588258437762944,0.0006363297674454736,0,0,0,0,0,0,1
1,-28.28622,0.0,62.01884253028264,0,0.11660041535202356,0.11673428635858193,0.1158880691763886,0.0008453177918267476,0,0,0,0,0,0,0
2,-24.23621,0.0,62.01884253028264,0,0.11671761734085107,0.11695541960505064,0.11589355129034677,0.0010609675080180368,0,0,0,0,0,0,0
3,-18.79672,0.0,62.01884253028264,0,0.11690003986561803,0.11718720188863048,0.11589903057673684,0.0012872691008033903,0,0,0,0,0,0,0
4,-12.51859,0.0,62.01884253028264,0,0.1171371168254598,0.11743254187413715,0.11590450689341125,0.001527131377263033,0,0,0,0,0,0,0
5,-5.991699,0.0,62.01884253028264,0,0.11741828211951184,0.11769281663807787,0.11590998009897427,0.0017819315554173914,0,0,0,0,0,0,0
6,0.3356323,0.0,62.01884253028264,0,0.11773296964690949,0.11796755317577404,0.11591545005292161,0.002051196771210109,0,0,0,0,0,0,0
7,6.141571,0.0,62.01884253028264,0,0.11807061330678824,0.11825426889115012,0.11592091661578825,0.0023324445681492416,0,0,0,0,0,0,0
8,11.21338,0.0,62.01884253028264,0,0.1184206469982835,0.1185484823960174,0.11592637964930405,0.0026211936964352814,0,0,0,0,0,0,0
9,15.37253,0.0,62.01884253028264,0,0.11877250462053067,0.11884389065967378,0.11593183901655572,0.0029111412623990056,0,0,0,0,0,0,0
10,18.45831,0.0,62.01884253028264,0,0.11911562007266514,0.1191326951757226,0.1159372945821527,0.003194488895154386,0,0,0,0,0,0,0
11,20.33618,0.0,62.01884253028264,0,0.11943942725382235,0.11940604912614375,0.11594274621239324,0.003462389910503789,0,0,0,0,0,0,0
12,20.98358,0.0,62.01884253028264,0,0.11973336006313771,0.11965458992240749,0.11594819377542634,0.0037054818518895945,0,0,0,0,0,0,0
13,20.52475,0.0,62.01884253028264,0,0.11998685239974664,0.11986901711460497,0.11595363714140461,0.003914464399372016,0,0,0,0,0,0,0
14,19.24158,0.0,62.01884253028264,0,0.12018933816278457,0.12004067441486208,0.11595907618262281,0.004080681392904437,0,0,0,0,0,0,0
15,17.55566,0.0,62.01884253028264,0,0.12033025125138688,0.12016209627914164,0.1159645107736366,0.004196667414016848,0,0,0,0,0,0,0
16,15.91245,0.0,62.01884253028264,0,0.12039902556468901,0.12022748382438171,0.11596994079135692,0.004256623702859645,0,0,0,0,0,0,0
