timestamp,value,norm_ts
1618935420.679,2.320348,0.0
1618935420.929,2.320348,0.25
1618935421.179,2.320348,0.5
1618935421.429,2.319068,0.75
1618935421.679,2.312665,1.0
1618935421.929,2.307544,1.25
1618935422.179,2.304983,1.5
1618935422.429,2.312665,1.75
1618935422.679,2.32547,2.0
1618935422.929,2.334434,2.25
1618935423.179,2.35236,2.5
1618935423.429,2.385653,2.75
1618935423.679,2.412543,3.0
1618935423.929,2.434311,3.25
1618935424.179,2.449677,3.5
1618935424.429,2.445836,3.75
1618935424.679,2.456079,4.0
1618935424.929,2.444555,4.25
1618935425.179,2.429189,4.5
1618935425.429,2.418946,4.75
1618935425.679,2.40358,5.0
1618935425.929,2.394616,5.25
1618935426.179,2.389494,5.5
1618935426.429,2.381812,5.75
1618935426.679,2.374129,6.0
1618935426.929,2.367726,6.25
1618935427.179,2.360043,6.5
1618935427.429,2.35236,6.75
1618935427.679,2.35236,7.0
1618935427.929,2.349799,7.25
1618935428.179,2.347239,7.5
1618935428.429,2.345958,7.75
1618935428.679,2.35108,8.0
1618935428.929,2.35108,8.25
1618935429.179,2.354921,8.5
1618935429.429,2.347239,8.75
1618935429.679,2.342117,9.0
1618935429.929,2.338275,9.25
1618935430.179,2.336995,9.5
1618935430.429,2.335714,9.75
1618935430.679,2.320348,10.0
1618935430.929,2.315227,10.25
1618935431.179,2.315227,10.5
1618935431.429,2.266568,10.75
1618935431.679,2.216629,11.0
1618935431.929,2.207666,11.25
1618935432.179,2.184617,11.5
1618935432.429,2.162849,11.75
1618935432.679,2.157727,12.0
1618935432.929,2.157727,12.25
1618935433.179,2.167971,12.5
1618935433.429,2.170532,12.75
1618935433.679,2.171812,13.0
1618935433.929,2.157727,13.25
1618935434.179,2.171812,13.5
1618935434.429,2.169251,13.75
1618935434.679,2.189739,14.0
1618935434.929,2.193581,14.25
1618935435.179,2.330592,14.5
1618935435.429,2.37669,14.75
1618935435.679,2.40358,15.0
1618935435.929,2.394616,15.25
1618935436.179,2.481689,15.5
1618935436.429,2.51114,15.75
1618935436.679,2.523945,16.0
1618935436.929,2.546994,16.25
1618935437.179,2.570043,16.5
1618935437.429,2.571323,16.75
1618935437.679,2.555957,17.0
1618935437.929,2.521384,17.25
1618935438.179,2.521384,17.5
1618935438.429,2.504738,17.75
1618935438.679,2.494494,18.0
1618935438.929,2.471445,18.25
1618935439.179,2.463763,18.5
1618935439.429,2.454799,18.75
1618935439.679,2.443275,19.0
1618935439.929,2.449677,19.25
1618935440.179,2.450958,19.5
1618935440.429,2.448397,19.75
1618935440.679,2.472726,20.0
1618935440.929,2.485531,20.25
1618935441.179,2.497055,20.5
1618935441.429,2.508579,20.75
1618935441.679,2.522665,21.0
1618935441.929,2.557238,21.25
1618935442.179,2.549555,21.5
1618935442.429,2.539311,21.75
1618935442.679,2.525226,22.0
1618935442.929,2.517543,22.25
1618935443.179,2.51114,22.5
1618935443.429,2.499616,22.75
1618935443.679,2.490653,23.0
1618935443.929,2.48297,23.25
1618935444.179,2.472726,23.5
1618935444.429,2.470165,23.75
1618935444.679,2.479128,24.0
1618935444.929,2.497055,24.25
1618935445.179,2.521384,24.5
1618935445.429,2.549555,24.75
1618935445.679,2.572603,25.0
1618935445.929,2.584128,25.25
1618935446.179,2.586689,25.5
1618935446.429,2.585408,25.75
1618935446.679,2.573884,26.0
1618935446.929,2.557238,26.25
1618935447.179,2.545713,26.5
1618935447.429,2.521384,26.75
1618935447.679,2.51114,27.0
1618935447.929,2.508579,27.25
1618935448.179,2.495775,27.5
1618935448.429,2.491933,27.75
1618935448.679,2.472726,28.0
1618935448.929,2.481689,28.25
1618935449.179,2.475287,28.5
1618935449.429,2.467604,28.75
