timestamp,value,norm_ts
1618824727.158,0.4585417,0.0
1618824727.408,0.462382,0.25
1618824727.658,0.462382,0.5
1618824727.908,0.4636621,0.75
1618824728.158,0.4713427,1.0
1618824728.408,0.475183,1.25
1618824728.658,0.4777431,1.5
1618824728.908,0.4828635,1.75
1618824729.158,0.4854237,2.0
1618824729.408,0.4815834,2.25
1618824729.658,0.4854237,2.5
1618824729.908,0.4867038,2.75
1618824730.158,0.4828635,3.0
1618824730.408,0.4854237,3.25
1618824730.658,0.4879839,3.5
1618824730.908,0.4879839,3.75
1618824731.158,0.4969446,4.0
1618824731.408,0.5033451,4.25
1618824731.658,0.5251068,4.5
1618824731.908,0.5289471,4.75
1618824732.158,0.502065,5.0
1618824732.408,0.4982247,5.25
1618824732.658,0.4918242,5.5
1618824732.908,0.4931043,5.75
1618824733.158,0.5097456,6.0
1618824733.408,0.5263869,6.25
1618824733.658,0.5187063,6.5
1618824733.908,0.5110257,6.75
1618824734.158,0.4995048,7.0
1618824734.408,0.489264,7.25
1618824734.658,0.4918242,7.5
1618824734.908,0.4918242,7.75
1618824735.158,0.4867038,8.0
1618824735.408,0.4867038,8.25
1618824735.658,0.4854237,8.5
1618824735.908,0.4815834,8.75
1618824736.158,0.4841436,9.0
1618824736.408,0.4867038,9.25
1618824736.658,0.475183,9.5
1618824736.908,0.4790232,9.75
1618824737.158,0.4790232,10.0
1618824737.408,0.475183,10.25
1618824737.658,0.4790232,10.5
1618824737.908,0.4815834,10.75
1618824738.158,0.4841436,11.0
1618824738.408,0.4867038,11.25
1618824738.658,0.4867038,11.5
1618824738.908,0.4879839,11.75
1618824739.158,0.4905441,12.0
1618824739.408,0.4943844,12.25
1618824739.658,0.4969446,12.5
1618824739.908,0.4931043,12.75
1618824740.158,0.4969446,13.0
1618824740.408,0.4943844,13.25
1618824740.658,0.489264,13.5
1618824740.908,0.4828635,13.75
1618824741.158,0.489264,14.0
1618824741.408,0.4803033,14.25
1618824741.658,0.4867038,14.5
1618824741.908,0.4879839,14.75
1618824742.158,0.4828635,15.0
1618824742.408,0.4815834,15.25
1618824742.658,0.4815834,15.5
1618824742.908,0.4790232,15.75
1618824743.158,0.475183,16.0
1618824743.408,0.4777431,16.25
1618824743.658,0.4726228,16.5
1618824743.908,0.4739029,16.75
1618824744.158,0.4777431,17.0
1618824744.408,0.4803033,17.25
1618824744.658,0.4790232,17.5
1618824744.908,0.475183,17.75
1618824745.158,0.4790232,18.0
1618824745.408,0.4739029,18.25
1618824745.658,0.475183,18.5
1618824745.908,0.475183,18.75
1618824746.158,0.4687825,19.0
1618824746.408,0.4713427,19.25
1618824746.658,0.4713427,19.5
1618824746.908,0.4675024,19.75
1618824747.158,0.4662223,20.0
1618824747.408,0.4700626,20.25
