,PPG_Raw,PPG_Clean,PPG_Rate,PPG_Peaks,EDA_Raw,EDA_Clean,EDA_Phasic,EDA_Tonic,SCR_Onsets,SCR_Peaks,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,Index,Condition
0,-20.45355,0.0,67.5282216360199,0,0.2706030179221402,0.27059264745014605,-0.005616016279549006,0.2762054016656571,0,0,0,0,0,1100,neutral
1,-22.27568,0.0,66.71923063930369,0,0.2709875239953212,0.2709720240643028,-0.005219223165950527,0.2761879882843403,0,0,0,0,0,1101,neutral
2,-24.68337,0.0,65.92266878357854,0,0.27138391165482123,0.27136444480719984,-0.004809445428338775,0.27617063450827173,0,0,0,0,0,1102,neutral
3,-27.77626,0.0,65.13927493302256,0,0.2717855485304035,0.2717624762412765,-0.004394116604930793,0.27615334043873035,0,0,0,0,0,1103,neutral
4,-31.50641,0.0,64.36970168742161,0,0.27218580225183153,0.2721588514566563,-0.003980503703468847,0.27613610617420625,0,0,0,0,0,1104,neutral
5,-35.53666,0.0,63.61452177453742,0,0.27257804044886824,0.27254666315329906,-0.003575514119307244,0.2761189318106397,0,0,0,0,0,1105,neutral
6,-39.28396,0.0,62.87423425546564,0,0.27295563075127716,0.27291953166783117,-0.003185527608819897,0.2761018174416591,0,0,0,0,0,1106,neutral
7,-42.05694,0.0,62.149270512912935,0,0.2733119407888215,0.27327174187020714,-0.002816259392972414,0.2760847631588146,0,0,0,0,0,1107,neutral
8,-43.14487,0.0,61.44,0,0.2736403381912644,0.27359834449375553,-0.0024726588275009015,0.2760677690518026,0,0,0,0,0,1108,neutral
9,-42.11955,0.0,60.74673573388432,0,0.27393419168665056,0.27389521934796507,-0.0021588461903385933,0.2760508352086788,0,0,0,0,0,1109,neutral
10,-38.83987,0.0,60.069739524261415,0,0.2741885578403491,0.2741590999755985,-0.0018780880247005326,0.27603396171605665,0,0,0,0,0,1110,neutral
11,-33.51749,0.0,59.409226931716674,0,0.2744035855803161,0.2743875615771205,-0.0016328092148367797,0.2760171486592884,0,0,0,0,0,1111,neutral
12,-26.62764,0.0,58.765371955043676,0,0.2745803804197293,0.2745789762795631,-0.001424637717329325,0.2760003961226275,0,0,0,0,0,1112,neutral
13,-18.76106,0.0,58.13831145009325,0,0.2747200478717672,0.27473244184815965,-0.0012544758496002553,0.2759837041893704,0,0,0,0,0,1113,neutral
14,-10.53605,0.0,57.52814928555156,0,0.2748236934496077,0.2748476914841827,-0.0011225904921940352,0.27596707294197725,0,0,0,0,0,1114,neutral
