,PPG_Raw,PPG_Clean,PPG_Rate,PPG_Peaks,EDA_Raw,EDA_Clean,EDA_Phasic,EDA_Tonic,SCR_Onsets,SCR_Peaks,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,Index,Condition
0,34.09872,8.96477823615735,66.21411465714532,0,0.12240179313349714,0.12240532123976557,-0.001437390676889013,0.12365272430736236,0,0,0,0,0,3993,zmatek
1,34.78668,8.601701364607548,65.84804495561646,0,0.12218402925736646,0.12219826428716794,-0.0016444645879960726,0.1236526563829994,0,0,0,0,0,3994,zmatek
2,36.02106,8.71871066138764,65.4824974327442,0,0.12199537622347364,0.12202136834000547,-0.0018213738517194483,0.12365258882125593,0,0,0,0,0,3995,zmatek
3,37.74521,9.1840109416157,65.11781204744193,0,0.12184043437584634,0.12187748986262124,-0.0019652620080648905,0.12365252165633289,0,0,0,0,0,3996,zmatek
4,39.71652,9.748346304742725,64.7543145391183,0,0.12172380405851203,0.12176856812059503,-0.0020741897947535053,0.12365245492149361,0,0,0,0,0,3997,zmatek
5,41.53995,10.069209722423022,64.39231671427096,0,0.1216498691504723,0.12169553673573791,-0.002147223592144151,0.12365238864898093,0,0,0,0,0,3998,zmatek
6,42.75122,9.785951886433377,64.03211676068206,0,0.12161839501135485,0.12165827298571627,-0.0021844861235464637,0.12365232286995426,0,0,0,0,0,3999,zmatek
7,42.99432,8.619127768801913,63.6739995857835,0,0.12162472013689202,0.12165558842177263,-0.002187165837457627,0.1236522576144472,1,0,0,0,0,4000,zmatek
8,42.13763,6.452097787400566,63.31823717596355,0,0.12166400491047137,0.1216852620348811,-0.002157483741384844,0.12365219291134563,0,0,0,0,0,4001,zmatek
9,40.28448,3.358303900053988,62.96508897379125,0,0.12173140971548052,0.12174411479952207,-0.0020986188580685646,0.12365212878838545,0,0,0,0,0,4002,zmatek
10,37.71921,0.0,62.614802270341684,0,0.12182209493530705,0.12182812223110157,-0.002014595668079402,0.123652065272169,0,0,0,0,0,4003,zmatek
11,34.79019,0.0,62.26761261000898,0,0.12193122095333847,0.12193255979665486,-0.0019101386991474708,0.12365200238819811,0,0,0,0,0,4004,zmatek
