,PPG_Raw,PPG_Clean,PPG_Rate,PPG_Peaks,EDA_Raw,EDA_Clean,EDA_Phasic,EDA_Tonic,SCR_Onsets,SCR_Peaks,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,Index,Condition
0,173.7619,162.7575493715098,77.7833365298916,0,0.9057657929930389,0.9057116353885158,-0.0031819026550222555,0.9089121135255306,0,0,0,0,0,1474,znechuceni
1,143.5737,130.6543144840673,77.64050751393805,0,0.9059086714518045,0.9058842471454134,-0.003052223802232629,0.9089551467874788,0,0,0,0,0,1475,znechuceni
2,118.0894,102.87735371577554,77.4987130275551,0,0.9061335001370008,0.9061420674452907,-0.002836925802611367,0.9089977696931093,0,0,0,0,0,1476,znechuceni
3,98.37238,81.11119826583963,77.35783858305801,0,0.9064414940283233,0.906482731085125,-0.0025383732294625132,0.9090399816119952,0,0,0,0,0,1477,znechuceni
4,84.39758,65.60841952356178,77.21777132739226,0,0.9068338681054682,0.9069025640650651,-0.002160239451295707,0.9090817819120754,0,0,0,0,0,1478,znechuceni
5,75.50217,55.590192564848785,77.07840001043638,0,0.9073115857178942,0.907396398589281,-0.0017076916311480547,0.9091231699598276,0,0,0,0,0,1479,znechuceni
6,70.64316,49.70603360372968,76.93961495679581,0,0.907868561101126,0.907957427919628,-0.001187535873139493,0.9091641451204853,0,0,0,0,0,1480,znechuceni
7,68.47775,46.41323965906011,76.80130804096554,0,0.9084908778775712,0.90857711920664,-0.0006083043917384408,0.9092047067582991,0,0,0,0,0,1481,znechuceni
8,67.52692,44.22394010081733,76.66337266574436,0,0.9091642111977435,0.909245198878817,1.972987722457728e-05,0.9092448542368362,0,0,0,0,0,1482,znechuceni
9,66.39413,41.83150373359491,76.52570374378669,0,0.9098742362121567,0.9099497206946069,0.0006846213282058668,0.9092845869193134,0,0,0,0,0,1483,znechuceni
10,63.98514,38.15604953918471,76.38819768218075,0,0.910606628071325,0.9106772216380317,0.0013729075812142465,0.9093239041689581,0,0,0,0,0,1484,znechuceni
11,59.52908,32.35287275185271,76.2507523699452,0,0.911347061925762,0.9114129658557423,0.00206985341848275,0.9093628053493912,0,0,0,0,0,1485,znechuceni
12,52.46976,23.82046059960214,76.11326716833833,0,0.9120812129259819,0.9121412720220228,0.0027597781490783626,0.9094012898250213,0,0,0,0,0,1486,znechuceni
13,42.46161,12.229183351955877,75.97564290387574,0,0.9127947562224983,0.9128459149801507,0.003426457249861573,0.9094393569614456,0,0,0,0,0,1487,znechuceni
14,29.34042,0.0,75.83778186395487,0,0.9134733669658252,0.9135105882812335,0.004053584903927431,0.9094770061258453,0,0,0,0,0,1488,znechuceni
15,13.29709,0.0,75.69958779498516,0,0.9141027203064767,0.9141194103681801,0.004625280184193977,0.9095142366873677,0,0,0,0,0,1489,znechuceni
16,-5.030334,0.0,75.56096590292437,0,0.9146684913949665,0.9146574537334391,0.005126616210781951,0.9095510480174865,0,0,0,0,0,1490,znechuceni
17,-24.66016,0.0,75.42182285612238,0,0.9151563553818087,0.9151112736018012,0.005544148833489045,0.9095874394903285,0,0,0,0,0,1491,znechuceni
18,-44.4263,0.0,75.28206679037406,0,0.9155519874175171,0.9154694108301851,0.005866419531288257,0.9096234104829611,0,0,0,0,0,1492,znechuceni
19,-63.38132,0.0,75.14160731608348,0,0.9158410626526055,0.9157228431133663,0.006084406617818547,0.9096589603756317,0,0,0,0,0,1493,znechuceni
20,-81.04214,0.0,75.0003555274417,0,0.9160092562375877,0.9158653595815053,0.006191899838727312,0.9096940885519512,0,1,0,0,0,1494,znechuceni
21,-97.50302,0.0,74.85822401352061,0,0.9160425336782204,0.9158938367332052,0.0061857763046043795,0.9097287943990199,0,0,0,0,0,1495,znechuceni
22,-113.2247,0.0,74.71512687118502,0,0.9159389452491598,0.9158083984327492,0.006066160488156933,0.9097630773074877,0,0,0,0,0,1496,znechuceni
23,-128.6974,0.0,74.57097971972448,0,0.9157127171961621,0.9156124491698046,0.005836457483918256,0.9097969366715515,0,0,0,0,0,1497,znechuceni
24,-144.2497,0.0,74.42569971710668,0,0.915379206230309,0.915312577334382,0.005503256283274221,0.9098303718888859,0,0,0,0,0,1498,znechuceni
25,-159.994,0.0,74.27920557775306,0,0.9149537690626824,0.9149183330350137,0.005076107592773968,0.9098633823605126,0,0,0,0,0,1499,znechuceni
26,-175.9706,0.0,74.13141759173683,0,0.914451762404364,0.9144418920899076,0.004567187825473935,0.9098959674906089,0,0,0,0,0,1500,znechuceni
27,-192.1109,0.0,73.98225764530291,0,0.9138885429664352,0.9138976235768581,0.003990866651093689,0.9099281266862635,0,0,0,0,0,1501,znechuceni
28,-207.95,0.0,73.83164924260845,0,0.913279467459978,0.9133015824143264,0.0033631995773870218,0.909959859357185,0,0,0,0,0,1502,znechuceni
29,-222.1197,0.0,73.67951752858211,0,0.9126398925960739,0.9126709508611611,0.0027013694501933413,0.9099911649153716,0,0,0,0,0,1503,znechuceni
30,-232.1218,0.0,73.52578931279876,0,0.9119851750858048,0.9120234537739368,0.0020231017111346696,0.9100220427747518,0,0,0,0,0,1504,znechuceni
31,-234.6071,0.0,73.37039309426616,0,0.911330671640252,0.9113767722457407,0.0013460780367823555,0.9100524923508055,0,0,0,0,1,1505,znechuceni
