timestamp,value,norm_ts
1618826412.589,0.9326957,0.0
1618826412.839,0.9339765,0.25
1618826413.089,0.9339765,0.5
1618826413.339,0.9352571,0.75
1618826413.589,0.9467836,1.0
1618826413.839,0.9442222,1.25
1618826414.089,0.9390993,1.5
1618826414.339,0.9416607,1.75
1618826414.589,0.9390993,2.0
1618826414.839,0.9365379,2.25
1618826415.089,0.931415,2.5
1618826415.339,0.9352571,2.75
1618826415.589,0.9339765,3.0
1618826415.839,0.9262922,3.25
1618826416.089,0.9134851,3.5
1618826416.339,0.9019586,3.75
1618826416.589,0.9186079,4.0
1618826416.839,0.9198886,4.25
1618826417.089,0.9160464,4.5
1618826417.339,0.9096429,4.75
1618826417.589,0.9096429,5.0
1618826417.839,0.90452,5.25
1618826418.089,0.9070814,5.5
1618826418.339,0.90452,5.75
1618826418.589,0.8993972,6.0
1618826418.839,0.9006779,6.25
1618826419.089,0.9032393,6.5
1618826419.339,0.8993972,6.75
1618826419.589,0.8878707,7.0
1618826419.839,0.8904322,7.25
1618826420.089,0.8904322,7.5
1618826420.339,0.8904322,7.75
1618826420.589,0.8840286,8.0
1618826420.839,0.8827479,8.25
1618826421.089,0.8840286,8.5
1618826421.339,0.8801864,8.75
1618826421.589,0.8763443,9.0
1618826421.839,0.877625,9.25
1618826422.089,0.877625,9.5
1618826422.339,0.8725021,9.75
1618826422.589,0.86866,10.0
1618826422.839,0.86866,10.25
1618826423.089,0.8712215,10.5
1618826423.339,0.8648179,10.75
1618826423.589,0.8660986,11.0
1618826423.839,0.8699408,11.25
1618826424.089,0.8673793,11.5
1618826424.339,0.859695,11.75
1618826424.589,0.8584143,12.0
1618826424.839,0.8609757,12.25
1618826425.089,0.8660986,12.5
1618826425.339,0.8545722,12.75
1618826425.589,0.8494493,13.0
1618826425.839,0.8571336,13.25
1618826426.089,0.8584143,13.5
1618826426.339,0.8520107,13.75
1618826426.589,0.8673793,14.0
1618826426.839,0.8737829,14.25
1618826427.089,0.8648179,14.5
1618826427.339,0.8558529,14.75
1618826427.589,0.8609757,15.0
1618826427.839,0.859695,15.25
1618826428.089,0.8558529,15.5
1618826428.339,0.8481686,15.75
1618826428.589,0.85073,16.0
1618826428.839,0.8532915,16.25
1618826429.089,0.8430458,16.5
1618826429.339,0.8481686,16.75
1618826429.589,0.8468879,17.0
1618826429.839,0.8456072,17.25
1618826430.089,0.8404843,17.5
1618826430.339,0.8468879,17.75
1618826430.589,0.8468879,18.0
1618826430.839,0.8392036,18.25
1618826431.089,0.8340808,18.5
1618826431.339,0.8430458,18.75
1618826431.589,0.8443264,19.0
1618826431.839,0.8366421,19.25
1618826432.089,0.8379229,19.5
1618826432.339,0.8404843,19.75
1618826432.589,0.841765,20.0
1618826432.839,0.8404843,20.25
1618826433.089,0.8468879,20.5
1618826433.339,0.85073,20.75
1618826433.589,0.8520107,21.0
1618826433.839,0.8379229,21.25
1618826434.089,0.8456072,21.5
1618826434.339,0.8468879,21.75
1618826434.589,0.8404843,22.0
1618826434.839,0.8404843,22.25
1618826435.089,0.841765,22.5
1618826435.339,0.841765,22.75
1618826435.589,0.8379229,23.0
1618826435.839,0.8392036,23.25
1618826436.089,0.8353615,23.5
1618826436.339,0.8366421,23.75
1618826436.589,0.8276772,24.0
1618826436.839,0.8392036,24.25
1618826437.089,0.8379229,24.5
1618826437.339,0.8340808,24.75
1618826437.589,0.8276772,25.0
1618826437.839,0.8315193,25.25
1618826438.089,0.8302386,25.5
1618826438.339,0.8276772,25.75
1618826438.589,0.823835,26.0
1618826438.839,0.8263965,26.25
1618826439.089,0.8289579,26.5
1618826439.339,0.8225543,26.75
1618826439.589,0.8289579,27.0
1618826439.839,0.8366421,27.25
1618826440.089,0.8456072,27.5
1618826440.339,0.8545722,27.75
1618826440.589,0.8571336,28.0
1618826440.839,0.8609757,28.25
1618826441.089,0.8673793,28.5
1618826441.339,0.8750636,28.75
1618826441.589,0.8609757,29.0
1618826441.839,0.8609757,29.25
1618826442.089,0.8635372,29.5
1618826442.339,0.8635372,29.75
1618826442.589,0.8532915,30.0
1618826442.839,0.85073,30.25
1618826443.089,0.8571336,30.5
1618826443.339,0.8571336,30.75
1618826443.589,0.85073,31.0
1618826443.839,0.8558529,31.25
1618826444.089,0.859695,31.5
1618826444.339,0.8545722,31.75
1618826444.589,0.8571336,32.0
1618826444.839,0.85073,32.25
1618826445.089,0.8699408,32.5
1618826445.339,0.8789057,32.75
1618826445.589,0.88659,33.0
1618826445.839,0.8993972,33.25
1618826446.089,0.90452,33.5
1618826446.339,0.9109236,33.75
1618826446.589,0.9134851,34.0
1618826446.839,0.9032393,34.25
1618826447.089,0.9070814,34.5
1618826447.339,0.9019586,34.75
1618826447.589,0.90452,35.0
1618826447.839,0.8968357,35.25
1618826448.089,0.9019586,35.5
1618826448.339,0.9122043,35.75
1618826448.589,0.9211693,36.0
1618826448.839,0.9134851,36.25
1618826449.089,0.9134851,36.5
1618826449.339,0.9211693,36.75
1618826449.589,0.9096429,37.0
1618826449.839,0.9070814,37.25
1618826450.089,0.9160464,37.5
1618826450.339,0.9083622,37.75
1618826450.589,0.9122043,38.0
1618826450.839,0.9198886,38.25
1618826451.089,0.9262922,38.5
1618826451.339,0.9365379,38.75
1618826451.589,0.9429414,39.0
1618826451.839,0.9416607,39.25
1618826452.089,0.9429414,39.5
1618826452.339,0.9378186,39.75
1618826452.589,0.9365379,40.0
1618826452.839,0.9275729,40.25
1618826453.089,0.9160464,40.5
1618826453.339,0.9198886,40.75
1618826453.589,0.9122043,41.0
1618826453.839,0.9096429,41.25
1618826454.089,0.9006779,41.5
1618826454.339,0.90452,41.75
1618826454.589,0.9019586,42.0
1618826454.839,0.8993972,42.25
1618826455.089,0.8904322,42.5
1618826455.339,0.8929936,42.75
1618826455.589,0.8929936,43.0
1618826455.839,0.8878707,43.25
1618826456.089,0.8853093,43.5
1618826456.339,0.8891515,43.75
1618826456.589,0.8878707,44.0
1618826456.839,0.877625,44.25
1618826457.089,0.8814672,44.5
1618826457.339,0.8801864,44.75
1618826457.589,0.8827479,45.0
1618826457.839,0.8750636,45.25
1618826458.089,0.8712215,45.5
1618826458.339,0.8763443,45.75
1618826458.589,0.8737829,46.0
1618826458.839,0.8660986,46.25
1618826459.089,0.8660986,46.5
1618826459.339,0.8660986,46.75
1618826459.589,0.8673793,47.0
1618826459.839,0.8609757,47.25
1618826460.089,0.8622565,47.5
1618826460.339,0.8635372,47.75
1618826460.589,0.859695,48.0
1618826460.839,0.8532915,48.25
1618826461.089,0.8520107,48.5
1618826461.339,0.8571336,48.75
1618826461.589,0.8571336,49.0
1618826461.839,0.8545722,49.25
1618826462.089,0.8456072,49.5
1618826462.339,0.8481686,49.75
1618826462.589,0.8520107,50.0
1618826462.839,0.8520107,50.25
1618826463.089,0.8609757,50.5
1618826463.339,0.8609757,50.75
1618826463.589,0.859695,51.0
1618826463.839,0.8545722,51.25
1618826464.089,0.8532915,51.5
1618826464.339,0.8520107,51.75
1618826464.589,0.85073,52.0
1618826464.839,0.8443264,52.25
1618826465.089,0.8481686,52.5
1618826465.339,0.8584143,52.75
1618826465.589,0.8673793,53.0
1618826465.839,0.8648179,53.25
1618826466.089,0.8699408,53.5
1618826466.339,0.8789057,53.75
1618826466.589,0.8814672,54.0
1618826466.839,0.8673793,54.25
1618826467.089,0.8763443,54.5
1618826467.339,0.8725021,54.75
1618826467.589,0.8737829,55.0
1618826467.839,0.8609757,55.25
1618826468.089,0.859695,55.5
1618826468.339,0.8673793,55.75
1618826468.589,0.8622565,56.0
1618826468.839,0.8532915,56.25
1618826469.089,0.8571336,56.5
1618826469.339,0.859695,56.75
1618826469.589,0.8558529,57.0
1618826469.839,0.8571336,57.25
1618826470.089,0.85073,57.5
1618826470.339,0.8494493,57.75
1618826470.589,0.8494493,58.0
1618826470.839,0.8494493,58.25
1618826471.089,0.8392036,58.5
1618826471.339,0.8430458,58.75
1618826471.589,0.841765,59.0
1618826471.839,0.8430458,59.25
1618826472.089,0.8340808,59.5
1618826472.339,0.841765,59.75
1618826472.589,0.8520107,60.0
1618826472.839,0.8609757,60.25
1618826473.089,0.859695,60.5
1618826473.339,0.8737829,60.75
1618826473.589,0.8750636,61.0
1618826473.839,0.8699408,61.25
1618826474.089,0.8725021,61.5
1618826474.339,0.8725021,61.75
1618826474.589,0.8673793,62.0
1618826474.839,0.8635372,62.25
1618826475.089,0.8571336,62.5
1618826475.339,0.8584143,62.75
1618826475.589,0.8545722,63.0
1618826475.839,0.8494493,63.25
1618826476.089,0.8443264,63.5
1618826476.339,0.8468879,63.75
1618826476.589,0.8456072,64.0
1618826476.839,0.8404843,64.25
1618826477.089,0.8353615,64.5
1618826477.339,0.8353615,64.75
1618826477.589,0.8379229,65.0
1618826477.839,0.8315193,65.25
1618826478.089,0.8340808,65.5
1618826478.339,0.8353615,65.75
1618826478.589,0.8340808,66.0
1618826478.839,0.8315193,66.25
1618826479.089,0.8276772,66.5
1618826479.339,0.8315193,66.75
1618826479.589,0.8328,67.0
1618826479.839,0.8353615,67.25
1618826480.089,0.8340808,67.5
1618826480.339,0.8353615,67.75
1618826480.589,0.823835,68.0
1618826480.839,0.8263965,68.25
1618826481.089,0.8212736,68.5
1618826481.339,0.8212736,68.75
1618826481.589,0.8225543,69.0
1618826481.839,0.8161507,69.25
1618826482.089,0.8161507,69.5
1618826482.339,0.8161507,69.75
1618826482.589,0.8199929,70.0
1618826482.839,0.8135893,70.25
1618826483.089,0.8148701,70.5
1618826483.339,0.8097472,70.75
1618826483.589,0.8148701,71.0
1618826483.839,0.805905,71.25
1618826484.089,0.8071858,71.5
1618826484.339,0.8084664,71.75
1618826484.589,0.8097472,72.0
1618826484.839,0.805905,72.25
1618826485.089,0.8123086,72.5
1618826485.339,0.8071858,72.75
1618826485.589,0.805905,73.0
1618826485.839,0.7995015,73.25
1618826486.089,0.8007822,73.5
1618826486.339,0.8046243,73.75
1618826486.589,0.8020629,74.0
